"","beta","sd","points_end_scale","points_choice","N","aspect_ratio","free_draw","x_min","x_max","x_by","ymin_scale","ymax_scale","draw_start_scale","linear"
"1",0.1,0.09,0.5,"partial",30,1,FALSE,0,20,0.25,0.5,2,0.5,"true"
"2",0.1,0.09,0.5,"partial",30,1,FALSE,0,20,0.25,0.5,2,0.5,"false"
"3",0.1,0.09,0.75,"partial",30,1,FALSE,0,20,0.25,0.5,2,0.5,"true"
"4",0.1,0.09,0.75,"partial",30,1,FALSE,0,20,0.25,0.5,2,0.5,"false"
"5",0.23,0.25,0.5,"partial",30,1,FALSE,0,20,0.25,0.5,2,0.5,"true"
"6",0.23,0.25,0.5,"partial",30,1,FALSE,0,20,0.25,0.5,2,0.5,"false"
"7",0.23,0.25,0.75,"partial",30,1,FALSE,0,20,0.25,0.5,2,0.5,"true"
"8",0.23,0.25,0.75,"partial",30,1,FALSE,0,20,0.25,0.5,2,0.5,"false"
